帮忙;"bāngm
áng";Động từ;Giúp đỡ;"请别人帮忙，就要站在对方的
立场考虑问题。";"Qǐng biérén bāngmáng, jiù yào zhàn
zài duìfāng de lìchǎng kǎolǜ wèntí.";"Nhờ người khác giúp đỡ, bạn phải xem xét vấn đề từ
quan điểm của phía bên kia."
包;bāo;Danh từ;Túi;他碰得一个大包。;Tā pèng dé dà bāo.;Anh ấy đụng vào một cái túi lớn.
;;;Bao;;;
;;;Bóp;;;
饱;bǎo;Tính từ;No;"为了去旅行，我们早餐都吃得
饱饱的。";"Wèile qù lǚxíng, wǒmen zǎocān dōu
chī dé bǎo bǎo de.";Để đi du lịch, tất cả chúng tôi đều ăn sáng đầy đủ.
北方;běifāng;"Từ chỉ phương
hướng";"Phương
Bắc";我就很快有机会去北方了。;Wǒ jiù hěn kuài yǒu jīhuì qù běifāngle.;Tôi sẽ sớm có cơ hội ra Bắc.
;;;Phía Bắc;;;
被;bèi;Động từ;Bị …;我被带到后台去会见演员。;"Wǒ bèi dài dào hòutái qù huìjiàn
yǎnyuán.";"Tôi được đưa vào hậu trường để gặp gỡ các diễn
viên."
比较;bǐjiào;Động từ;So sánh;"两种办法各有得失，但比较而
言，还是第一种办法得大于失";"Liǎng zhǒng bànfǎ gè yǒu déshī, dàn
bǐjiào ér yán, háishì dì yī zhǒng";"Cả hai phương pháp đều có lãi và lỗ riêng, nhưng
nếu so sánh thì phương pháp đầu tiên có lãi nhiều"
;;Trạng từ;;;;
比赛;bǐsài;Danh từ;Cuộc thi;我才不管这场比赛谁胜呢。;"Wǒ cái bùguǎn zhè chǎng bǐsài shéi
shèng ne.";Tôi không quan tâm ai thắng trận đấu này.
;;;Thi đấu;;;
必须;Bìxū;Động từ;Cần thiết;我们必须乐观地面对未来。;Wǒmen bìxū lèguān dì miàn duì wèilái.;Chúng ta phải lạc quan đối mặt với tương lai.
;;;"Không
thể thiếu";;;
变化;"biànhu
à";Động từ;Biến hóa;她的模样起了惊人的变化。;"Tā de múyàng qǐle jīngrén de
biànhuà";Vẻ ngoài của cô thay đổi một cách đáng ngạc nhiên.
表示;biǎoshì;Động từ;Biểu thị;她向我们表示了虚假的热情。;Tā xiàng wǒmen biǎoshìle xūjiǎ de rèqíng.;Cô ấy bày tỏ sự nhiệt tình giả tạo với chúng tôi.
;;;Bày tỏ;;;
;;;Phô ra;;;
表演;"biǎoyǎ
n";Động từ;Biểu diễn;"观众对艺术家的精彩表演赞不
绝口。";"Guānzhòng duì yìshùjiā de jīngcǎi
biǎoyǎn zàn bù juékǒu.";"Khán giả hết lời khen ngợi màn trình diễn tuyệt vời
của nghệ sĩ."
别人;biérén;Danh từ;"Người
khác";别人准以为我缺少家教呢。;"Biérén zhǔn yǐwéi wǒ quēshǎo jiājiào
ne.";Mọi người vốn nghĩ rằng tôi thiếu gia sư.
宾馆;bīnguǎ n;Danh từ;Nhà nghỉ;我们住在一家临近海边的宾馆里。;Wǒmen zhù zài yījiā línjìn hǎibiān de bīnguǎn lǐ.;Chúng tôi ở trong một khách sạn gần biển.
;;;Nhà trọ;;;
;;;"Khách
sạn ít sao";;;
冰箱;bīngxiā ng;Danh từ;Tủ lạnh;他一进门就扔下书包，还没换鞋就去开冰箱找冷饮。;"Tā yī jìnmén jiù rēng xià shūbāo, hái
méi huàn xié jiù qù kāi bīngxiāng zhǎo lěngyǐn.";"Anh ta ném cặp sách xuống ngay khi bước vào cửa, xong mở tủ lạnh tìm đồ uống lạnh trước khi thay
giày."
才;cái;Động từ;Mới;"都是妈妈每天陪我跑步，我才
减肥成功。";"Dōu shì māmā měitiān péi wǒ pǎobù,
wǒ cái jiǎnféi chénggōng";"Chính mẹ là người cùng tôi chạy bộ mỗi ngày nên
tôi mới giảm được cân."
;;Họ, tên;Tài;;;
菜单;càidān;Danh từ;Thực đơn;给我菜单好吗，小姐？;Gěi wǒ càidān hǎo ma, xiǎojiě?;Cô có thể cho tôi thực đơn được không?
参加;cānjiā;Động từ;Tham gia;"高考是汇百万人参加的一场考
试。";"Gāokǎo shì huì bǎi wàn rén cānjiā de
yīchǎng kaoshì.";"Kỳ thi tuyển sinh đại học là một kì thi với hàng triệu
thí sinh tham gia.."
草;cǎo;Danh từ;Cỏ;她一下午都在花园里拔草。;"Tā yī xiàwǔ dōu zài huāyuán lǐ bá
cǎo.";Cô ấy đã nhổ cỏ trong vườn cả buổi chiều.
;;Họ, tên;Thảo;;;
层;céng;Danh từ;Tầng;原子核形变证实壳层结构。;;Biến dạng nguyên tử xác nhận cấu trúc vỏ.
差;chà;Tính từ;Kém;你是否克服了时差综合症？;"Nǐ shìfǒu kèfúle shíchā zònghé
zhèng?";"Bạn đã vượt qua hội chứng jet lag( lệch múi giờ)
chưa?"
超市;"chāosh
ì";Danh từ;Siêu thị;"昨天九点钟我们到超市买东西
了。";"Zuótiān jiǔ diǎn zhōng wǒmen dào
chāoshì mǎi dōngxīle.";"Chúng tôi đến siêu thị mua đồ vào lúc 9 giờ ngày
hôm qua."
衬衫;;Danh từ;Sơ mi;他为自己定做了三件衬衫。;;Anh đã đặt may ba chiếc áo cho mình.
成绩;chéngjī;Danh từ;"Thành
tích";"要在文化上有成绩，则非韧不
可。";"Yào zài wénhuà shàng yǒu chéngjī,
zé fēi rèn bùkě.";"Để thành công về mặt văn hóa, cần phải có sự kiên
trì."
城市;"chéngs
hì";Danh từ;"Thành
phố";这个城市对我来说很陌生。;"Zhègè chéngshì duì wǒ lái shuō hěn
mòshēng.";Thành phố này rất xa lạ đối với tôi.
迟到;chídào;Động từ;Muộn;今天开会又有人迟到了。;Jīntiān kāihuì yòu yǒurén chídàole.;Hôm nay lại có người đến họp muộn.
出现;"chūxià
n";Động từ;Xuất hiện;"懂得出现在什么场合着什么服
装。";"Dǒngdé chūxiàn zài shénme
chǎnghézhù shénme fúzhuāng.";Biết  mặc quần áo vào những dịp nào.
厨房;"chúfán
g";Danh từ;"Phòng
bếp";你到厨房里自己弄点吃的。;"Nǐ dào chúfáng lǐ zìjǐ nòng diǎn chī
de.";Bạn vào bếp và làm cho mình một cái gì đó để ăn.
除了;chúle;Giới từ;Trừ …ra;"除了我，其他人都去参加了音
乐会。";"Chúle wǒ, qítā rén dōu qù cānjiāle
yīnyuè huì.";"Ngoại trừ tôi, tất cả những người khác đã đến buổi
hòa nhạc."
春;chūn;Danh từ;"Mùa
xuân";春天的黄昏总是又阴又冷。;"Chūntiān de huánghūn zǒng shì yòu
yīn yòu lěng.";Buổi tối mùa xuân luôn nhiều mây và lạnh.
词语;cíyǔ;Danh từ;Từ ngữ;"作文时要尽量避免使用方言词
语。";"Zuòwén shí yào jǐnliàng bìmiǎn
shǐyòng fāngyán cíyǔ.";"Cố gắng tránh sử dụng các từ phương ngữ (từ địa
phương) khi viết."
聪明;"cōngmí
ng";Tính từ;"Thông
minh";"天才在于积累，聪明在于勤奋
。";"Tiāncái zàiyú jīlěi, cōngmíng zàiyú
qínfèn.";"Thiên tài nằm ở sự tích lũy, thông minh nằm ở sự
chăm chỉ."
打扫;dǎsǎo;Động từ;Dọn dẹp;教室被打扫得一干二净。;Jiàoshì bèi dǎsǎo dé yīgān èr jìng.;Phòng học đã được dọn dẹp sạch sẽ.
打算;dǎsuàn;Động từ;Dự định;"我从来没打算退缩，我的字典
没有妥协。";"Wǒ cónglái méi dǎsuàn tuìsuō, wǒ de
zìdiǎn méiyǒu tuǒxié.";"Tôi không bao giờ có ý định lùi bước, từ điển của
tôi không thỏa hiệp."
;;;Định;;;
带;dài;Động từ;Đem theo;行李带的多了，是个累赘。;Xínglǐ dài de duōle, shìgè léizhui.;Quá nhiều hành lý là một gánh nặng.
担心;dānxīn;Động từ;Lo lắng;你不要担心。;Nǐ bùyào dānxīn.;Đừng lo lắng.
蛋糕;dàngāo;Danh từ;"Bánh
gato";那蛋糕的样子很吸引人。;Nà dàngāo de yàngzi hěn xīyǐn rén.;Bánh trông rất hấp dẫn.
"Tiếng
Trung";"Phiên
âm";Từ loại;"Tiếng
Việt";Ví dụ;Chú thích;Dịch
当然;"dāngrá
n";Trạng từ;"Đương
nhiên";当然我不会检查你的行李！;"Dāngrán wǒ bù huì jiǎnchá nǐ de
xínglǐ!";Tất nhiên tôi sẽ không kiểm tra hành lý của bạn!
地;de;Trợ từ;Địa;他一拳就把对手打倒在地。;"Tā yī quán jiù bǎ duìshǒu dǎdǎo zài
dì.";Anh ta hạ gục đối thủ bằng một cú đấm.
;dì;;;;;
灯;dēng;Danh từ;Đèn;几乎所有的灯火已经熄灭。;Jīhū suǒyǒu de dēnghuǒ yǐjīng xímiè.;Hầu như tất cả các đèn đã tắt.
;;Họ, tên;Đăng;;;
低;dī;Tính từ;Thấp;彤云密布的天穹低得出奇。;;Bầu trời đầy mây thấp một cách đáng ngạc nhiên.
地方;dìfāng;Danh từ;"Địa
phương";她根本不想去那个脏地方。;"Tā gēnběn bùxiǎng qù nàgè zàng
dìfāng.";Cô không muốn đến nơi bNn thỉu đó chút nào.
地铁;dìtiě;Danh từ;"Tàu điện
ngầm";"我打赌地铁也是那么挤，是不
是？";"Wǒ dǎdǔ dìtiě yěshì nàme jǐ, shì
bùshì?";Tôi cá là tàu điện ngầm rất đông, phải không?
地图;dìtú;Danh từ;Bản đồ;目录是一篇长文档的地图。;;Mục lục là một bản đồ của một tài liệu dài.
电梯;diàntī;Danh từ;"Thang
máy";这可能是电梯坠毁的结果。;"Zhè kěnéng shì diàntī zhuìhuǐ de
jiéguǒ.";Đây có thể là kết quả của sự cố thang máy.
电子邮箱;"diànzǐ yóuxiā
ng";Danh từ;Email;"网址和电子邮箱地址保持不变
。";Wǎngzhǐ hé diànzǐ yóuxiāng dìzhǐ bǎochí bù biàn.;"Địa chỉ trang web và địa chỉ email vẫn không thay
đổi."
;;;"Hòm thư
điện tử";;;
东;dōng;"Từ chỉ phương
hướng";"Phía
Đông";五月，我到东部去拜访他。;Wǔ yuè, wǒ dào dōngbù qù bàifǎng tā.;Tháng năm, tôi về phía Đông thăm anh.
;;"Phương
vị từ";;;;
冬;dōng;Danh từ;"Mùa
đông";这些苹果储存起来冬天吃。;"Zhèxiē píngguǒ chúcún qǐlái
dōngtiān chī.";N hững quả táo này được lưu trữ cho mùa đông.
动物;;Danh từ;Động vật;这些动物只在夜晚出来。;Zhèxiē dòngwù zhǐ zài yèwǎn chūlái.;N hững con vật này chỉ xuất hiện vào ban đêm.
短;duǎn;Tính từ;N gắn;她穿着一件红色的短上衣。;"Tā chuānzhuó yī jiàn hóngsè de duǎn
shàngyī.";Cô ấy đang mặc một chiếc áo khoác ngắn màu đỏ.
段;duàn;Lương từ;Đoạn;他应该仔细考虑一段时间。;Tā yīnggāi zǐxì kǎolǜ yīduànshíjiān.;Anh ấy nên suy nghĩ kỹ một lúc.
锻炼;"duànlià
n";Động từ;"Luyện
tập";"爷爷通常五点钟起床，到公园
锻炼身体。";qǐchuáng, dào gōngyuán duànliàn;"Ông nội thường dậy lúc năm giờ đến công viên để
tập thể dục."
多么;duōme;Trợ từ;"Bao
nhiêu";"不管天气多么冷，雪下得多么
大，我们都要按时到校。";",
dé duōme dà, wǒmen dōu yào àn shí";"Dù thời tiết lạnh giá hay tuyết rơi dày đến đâu,
chúng ta cũng phải đến trường đúng giờ."
饿;è;Động từ;Đói;她想到儿童挨饿就受不了。;"Tā xiǎngdào értóng āi è jiù shòu
bùliǎo.";Cô ấy nghĩ tới trẻ em sẽ đói là không thể chịu được.
而且;érqiě;Từ nối;Hơn nữa;"他不但学习成绩好，而且还乐
于助人。";"Tā bùdàn xuéxí chéngjī hǎo, érqiě hái
lèyú zhùrén.";"Không chỉ có thành tích học tập tốt mà anh ấy còn
rất hay giúp đỡ."
耳朵;ěrduǒ;Danh từ;Tai;"他竖起耳朵，仔细听了听树林
里的动静。";"Tā shù qǐ ěrduǒ, zǐxì tīngle tīng
shùlín lǐ de dòngjìng.";Anh ta dỏng tai lên nghe mọi động tĩnh trong rừng.
发烧;fāshāo;Động từ;Phát sốt;"这孩子每晚发烧，这使他父母
非常焦急。";"Zhè háizi měi wǎn fāshāo, zhè shǐ tā
fùmǔ fēicháng jiāojí.";Con bị sốt hàng đêm khiến bố mẹ rất lo lắng.
;;;Sốt;;;
发现;fāxiàn;Động từ;Phát hiện;"妈妈发现天阴下来了，马上把
窗户关了起来。";"Māmā fāxiàn tiān yīn xiàláile,
mǎshàng bǎ chuānghù guānle qǐlái.";Mẹ thấy trời u ám, liền đóng cửa sổ lại.
方便;fāngbià n;Tính từ;"Thuận
tiện";公共场所，给人行方便，特别是老人家。;Gōnggòng chǎngsuǒ, jǐ rénxíng fāngbiàn, tèbié shì lǎorénjiā.;N ơi công cộng thuận tiện cho người dân, đặc biệt là người cao tuổi.
;;;Tiện lợi;;;
放;fàng;Động từ;Đặt đó;他把小费放在盘子下面了。;"Tā bǎ xiǎofèi fàng zài pánzi
xiàmiànle.";Anh ta đặt tiền tip dưới đĩa.
;;;Để đó;;;
放心;"fàngxī
n";Động từ;Yên tâm;"用我的细心，耐心和爱心，换
你的安心，放心和舒心。";"Yòng wǒ de xìxīn, nàixīn hé àixīn,
huàn nǐ de ānxīn, fàngxīn hé shūxīn.";"Với tính cNn thận, kiên nhẫn và tình yêu của mình,
tôi đánh đổi sự yên tâm, thoải mái cho bạn."
分;fēn;Danh từ;Phút;我们期望海军分遣队到来。;Wǒmen qīwàng hǎijūn fēnqiǎn duì dàolái.;Chúng tôi mong chờ sự xuất hiện của đội hải quân.
;;;Phần;;;
;;;Điểm;;;
附近;fùjìn;"Từ chỉ
phương";Lân cận;我家附近有个美丽的公园。;"Wǒjiā fùjìn yǒu gè měilì de
gōngyuán.";Có một công viên đẹp gần nhà của tôi.
;;;Gần đây;;;
复习;fùxí;Động từ;Ôn tập;"要中考了,同学们正抓紧时间复
习。";"Yào zhōngkǎole, tóngxuémen zhèng
zhuājǐn shíjiān fùxí.";"Kỳ thi tuyển sinh THPT sắp đến gần, các bạn học
sinh đang gấp rút ôn tập."
干净;gānjìng;Tính từ;Sạch sẽ;"我们把校园的每个角落都打扫
得干干净净。";jiǎoluò dōu dǎsǎo dé gàn gānjìng;"Chúng tôi đã dọn dẹp mọi ngóc ngách trong khuôn
viên trường."
敢;gǎn;Động từ;Dám;我们要把她吓得不敢报警。;;Chúng tôi muốn dọa cô ấy khỏi gọi cảnh sát.
感冒;"gǎnmà
o";Động từ;Cảm;"青春是一场大雨，即使感冒，
还想回头再淋一次。";"Qīngchūn shì yī chǎng dàyǔ, jíshǐ
gǎnmào, hái xiǎng huítóu zài lín yīcì.";"Tuổi thanh xuân là cơn mưa rào, dù có bị cảm, em
vẫn muốn tắm 1 lần."
刚才;;Động từ;Vừa mới;我刚才看见了他。;Wǒ gāngcái kànjiànle tā.;Tôi mới nhìn thấy anh ta.
跟;gēn;Từ nối;Cùng …;今天我跟上司大吵了一顿。;"Jīntiān wǒ gēn shàngsi dà chǎole yī
dùn.";"Tôi đã có một cuộc cãi vã lớn với sếp của tôi hôm
nay."
根据;gēnjù;Danh từ;"Dựa
theo….";"这个结论没有事实根据，不能
成立。";"Zhège jiélùn méiyǒu shìshí gēnjù,
bùnéng chénglì.";"Kết luận này không có cơ sở thực tế và không thể
được thiết lập."
更;gèng;Động từ;Thêm ….;我不是酒鬼，更不是嫖客。;Wǒ bùshì jiǔguǐ, gèng bùshì piáokè.;"Tôi không phải là một kẻ say xỉn chứ đừng nói đến
một cô gái không con sạch."
公园;"gōngyu
án";Danh từ;"Công
viên";"弟弟在公园的湖里玩着一个西
瓜似的水球。";"Dìdì zài gōngyuán de hú lǐ wánzhe
yīgè xīguā shì de shuǐqiú.";"Em trai đang chơi quả bóng nước giống quả dưa hấu
ở hồ nước trong công viên."
故事;gùshì;Danh từ;Sự cố;他的故事没有一点真实性。;;Không có sự thật trong câu chuyện của mình.
刮风;"guā
fēng";Động từ;Cạo gió;北方不比南方，春天老刮风。;"Běifāng bùbǐ nánfāng, chūntiān lǎo
guā fēng.";"Phương bắc không hơn phương nam, mùa xuân luôn
lộng gió."
关;guān;Danh từ;Quan;我们脸色冷峻，漠不关心。;"Wǒmen liǎnsè lěngjùn,
mòbùguānxīn.";Khuôn mặt chúng tôi dữ tợn và thờ ơ.
;;Động từ;Cửa …;;;
关系;guānxì;Danh từ;Quan hệ;我和那个家伙断绝关系了。;Wǒ hé nàgè jiāhuo duànjué guānxìle.;Tôi đã chia tay với gã đó.
关心;"guānxī
n";Động từ;Quan tâm;我们脸色冷峻，漠不关心。;"Wǒmen liǎnsè lěngjùn,
mòbùguānxīn.";Khuôn mặt chúng tôi dữ tợn và thờ ơ.
关于;guānyú;Liên từ;"Liên quan
đến…";关于供应物资的答复怎样？;Guānyú gōngyìng wùzī de dáfù zěnyàng?;Câu trả lời về nguồn cung cấp là gì?
;;;"Đối với
….";;;
国家;guójiā;Danh từ;Quốc gia;他是国家的知识分子精英。;;Anh là tầng lớp trí thức ưu tú của đất nước.
果汁;guǒzhī;Danh từ;N ước ép;汤已售完现只供应果汁。;"Tāng yǐ shòu wán xiàn zhǐ gōngyìng
guǒzhī.";Súp đã được bán hết và bây giờ chỉ có nước trái cây.
过去;guòqù;Động từ;Qua rồi;他的家在教堂过去几步远。;;N hà anh cách nhà thờ vài bước chân.
还是;háishì;Liên từ;Hay là;"不管是刮风还是下雨，他从未
迟到过。";"Bùguǎn shì guā fēng háishì xià yǔ, tā
cóng wèi chídàoguò.";Dù trời mưa gió, anh ấy chưa bao giờ đến muộn.
;;;Hoặc là;;;
害怕;hàipà;Động từ;Sợ hãi;天黑了,小飞开始害怕起来。;Tiān hēile, xiǎo fēi kāishǐ hàipà qǐlái.;Trời sắp tối, Tiểu Phi trở nên sợ hãi.
河;hé;Danh từ;Sông;对于这个我不会信口开河。;Duìyú zhège wǒ bù huì xìnkǒukāihé.;Tôi sẽ không nói về nó.
;;;Hồ;;;
黑板;hēibǎn;Danh từ;Bảng đen;她的名字已从黑板上划掉。;;Tên của cô ấy đã bị gạch bỏ trên bảng đen.
护照;;Danh từ;Hộ chiếu;请你填上护照号码并签名。;;Vui lòng điền số hộ chiếu của bạn và ký tên.
花;huā;Danh từ;Hoa;她真是个水性杨花的女人！;;Cô ấy thật là một người phụ nữ xinh đẹp!
花园;huāyuá n;Danh từ;"Vườn
hoa";她一下午都在花园里拔草。;Tā yī xiàwǔ dōu zài huāyuán lǐ bá cǎo.;Cô ấy đã nhổ cỏ trong vườn cả buổi chiều.
;;;Hoa viên;;;
;;;"Vườn
tược";;;
画;huà;Danh từ;Tranh;她的画博得了老师的赞扬。;Tā de huà bódéle lǎoshī de zànyáng.;"Bức tranh của cô đã giành được lời khen ngợi từ
giáo viên."
坏;huài;Tính từ;Hỏng;那批玻璃器皿损坏了很多。;N à pī bōlí qìmǐn sǔnhuàile hěnduō.;Lô đồ thủy tinh đó bị hư hỏng rất nhiều.
还;h;Liên từ;Hoặc là;那个小坏蛋还只有十九岁。;"N àgè xiǎo huàidàn hái zhǐyǒu shíjiǔ
suì.";Tên phản diện nhỏ đó mới mười chín tuổi.
;huán;Động từ;Đổi;;;
环境;huánjìn g;Danh từ;"Môi
trường";我姐姐在环境部担任要职。;Wǒ jiějiě zài huánjìng bù dānrèn yàozhí.;Em gái tôi giữ một vị trí quan trọng trong Bộ Môi trường.
;;;"Hoàn
cảnh";;;
换;huàn;Động từ;Đổi;客饭固定的午餐不能换菜。;;Bữa trưa cố định không thể thay đổi.
黄;huáng;Danh từ;"Màu
vàng";黄山山景，处处可以入画。;Huángshān shān jǐng, chùchù kěyǐ rùhuà.;Phong cảnh núi Hoàng Sơn có thể được vẽ ở khắp mọi nơi.
;;Tính từ;Hoàng;;;
;;Họ, tên;;;;
会议;huìyì;Danh từ;Hội ý;此事推迟到下次会议解决。;Cǐ shì tuīchí dào xià cì huìyì jiějué.;Vấn đề đã được hoãn lại cuộc họp tiếp theo.
或者;huòzhě;Danh từ;Hoặc là;"或者他只是一分钟热度，或者
他是真的下定了决心。";",
huòzhě tā shì zhēn de xiàdìngle";"Hoặc anh ấy chỉ là một phút nóng nảy, hoặc anh ấy
thực sự hạ quyết tâm."
机会;jīhuì;Danh từ;Cơ hội;"现在，正是有志青年大显身手
的好机会。";"Xiànzài, zhèng shì yǒuzhì qīngnián
dàxiǎnshēnshǒu de hǎo jīhuì.";"Giờ đây, là cơ hội tốt để những người trẻ có khát
vọng thể hiện tài năng của mình."
几乎;jīhū;Từ nối;"Dường
như";几乎所有的游客都是外国人。;"Jīhū suǒyǒu de yóukè dōu shì wàiguó
rén.";Hầu hết tất cả khách du lịch là người nước ngoài.
极;jí;Danh từ;Cấp độ;一时我又垂头丧气之极了。;Yīshí wǒ yòu chuítóusàngqì zhī jíle.;Trong một thời gian, tôi lại thất vọng.
;;;Level;;;
记得;jìdé;Động từ;Ghi nhớ;我记得她给过我那把钥匙。;Wǒ jìdé tā gěiguò wǒ nà bǎ yàoshi.;Tôi nhớ cô ấy đã đưa tôi chìa khóa.
;;;N hớ;;;
季节;jìjié;Danh từ;Mùa;秋天是毛织品畅销的季节。;;Mùa thu là mùa bán chạy nhất của các loại vải len.
检查;jiǎnchá;Động từ;Kiểm tra;"定期去检查身体吧，别等最后
别人送你去。";"Dìngqí qù jiǎnchá shēntǐ ba, bié děng
zuìhòu biérén sòng nǐ qù.";"Thường xuyên đi khám định kỳ, đừng đợi ai đó đưa
bạn đến đó."
简单;jiǎndān;Danh từ;Đơn giản;"这次考试很简单，可是由于我
的粗心，只考了95。";"Zhè cì kǎoshì hěn jiǎndān, kěshì
yóuyú wǒ de cūxīn, zhǐ kǎole 95.";"Đề thi rất đơn giản nhưng do bất cNn nên tôi chỉ thi
được 95."
健康;"jiànkān
g";Danh từ;"Khỏe
mạnh";"健康是成功的命脉，是成功的
本钱。";"Jiànkāng shì chénggōng de mìngmài,
shì chénggōng de běnqián.";"Sức khỏe là huyết mạch của thành công và là vốn
của thành công."
见面;"jiànmià
n";Động từ;Gặp mặt;那么，我们明天此时见面。;"N àme, wǒmen míngtiān cǐ shí
jiànmiàn.";"Vì vậy, chúng ta sẽ gặp nhau vào thời điểm này vào
ngày mai."
讲;jiǎng;Động từ;Giảng;他考虑要讲一句严厉的话。;Tā kǎolǜ yào jiǎng yījù yánlì dehuà.;Anh ấy coi là một lời nói khó nghe.
;;;N ói;;;
;;;"Dạy bảo/
dỗ";;;
教;jiào;Động từ;Dạy;他的家在教堂过去几步远。;;N hà anh cách nhà thờ vài bước chân.
角;jiǎo;Danh từ;Góc, xó;我的胳膊肘撞着桌子角了。;;Khuỷu tay của tôi đập vào góc bàn.
脚;jiǎo;Danh từ;Chân;他踢足球时扭伤了脚脖子。;Tā tī zúqiú shí niǔshāngle jiǎo bózi.;Anh ấy bị bong gân mắt cá chân khi chơi bóng đá.
接;jiē;Động từ;Đón, tiếp;他们提议接受布里托为王。;;Họ đề nghị chấp nhận Brito làm vua.
街道;jiēdào;Danh từ;"Đường
phố";那个阳台伸出于街道上方。;N àgè yángtái shēn chū yú jiēdào shàngfāng.;Ban công nhô ra ngoài đường.
;;;"Địa đạo
(hầm)";;;
结婚;jiéhūn;Động từ;Kết hôn;她结婚的消息来得很突然。;Tā jiéhūn de xiāoxī láidé hěn túrán.;Tin cô kết hôn đến bất ngờ.
结束;jiéshù;Động từ;Kết thúc;"有怎样的开始，就有怎样的结
束。";"Yǒu zěnyàng de kāishǐ, jiù yǒu
zěnyàng de jiéshù.";Dù có bắt đầu thì cũng có kết thúc.
节目;jiémù;Danh từ;Tiết mục;音乐节目被知趣地撤消了。;Yīnyuè jiémù bèi zhīqù de chèxiāole.;"Buổi biểu diễn âm nhạc đã bị hủy bỏ một cách khôn
ngoan."
节日;jiérì;Danh từ;N gày lễ;"节日的天安门广场花团锦簇，
令人赏心悦目。";huātuánjǐncù, lìng rén;"Quảng trường Thiên An Môn lễ hội rực rỡ sắc hoa,
đẹp mắt."
解决;jiějué;Động từ;"Giải
quyết";你有解决这问题的办法吗？;N ǐ yǒu jiějué zhè wèntí de bànfǎ ma?;Bạn có một giải pháp cho vấn đề này?
借;jiè;Động từ;Mượn;"这个小王借了我的笔,久假不归
,真讨厌。";"Zhège xiǎo wáng jièle wǒ de bǐ, jiǔ
jiǎ bù guī, zhēn tǎoyàn.";"Tiểu Vương  mượn bút của tôi, đã lâu không có trả,
thật là khó chịu."
经常;"jīngchá
ng";Trạng từ;"Thường
xuyên";我们尽量经常地打扫卫生。;"Wǒmen jǐnliàng jīngcháng de dǎsǎo
wèishēng.";"Chúng tôi cố gắng làm sạch thường xuyên nhất có
thể."
经过;jīnggu ò;Trạng từ;Trải qua;经过争论之后她愤然离开。;Jīngguò zhēnglùn zhīhòu tā fènrán líkāi.;Sau một hồi tranh cãi, cô ấy giận dữ bỏ đi.
;;;Trôi qua;;;
;;;"(thực sự đã trải
qua)";;;
经历;jīnglì;Động từ;Từng trải;教育和经历使他眼界开阔。;Jiàoyù hé jīnglì shǐ tā yǎnjiè kāikuò.;"Học vấn và kinh nghiệm đã mở rộng tầm nhìn của
anh ấy."
;;Danh từ;Trải qua;;;
