word,pinyin,meaning,example,example-meaning,example-pinyin
因为……所以……,yīnwèi…suǒyǐ…,bởi vì… nên…,因为下雨，所以我没去。,"Vì trời mưa, nên tôi đã không đi.","yīnwèi xiàyǔ, suǒyǐ wǒ méi qù."
虽然……但是……,suīrán…dànshì…,mặc dù… nhưng…,虽然很难，但是我喜欢。,"Mặc dù rất khó, nhưng tôi thích.","suīrán hěn nán, dànshì wǒ xǐhuān."
从,cóng,từ,我从北京来。,Tôi đến từ Bắc Kinh.,wǒ cóng Běijīng lái.
比,bǐ,so với,他比我高。,Anh ấy cao hơn tôi.,tā bǐ wǒ gāo.
往,wǎng,"hướng về, đến",请往前走。,Xin hãy đi thẳng về phía trước.,qǐng wǎng qián zǒu.
离,lí,cách (khoảng cách),我家离学校很近。,Nhà tôi cách trường học rất gần.,wǒ jiā lí xuéxiào hěn jìn.
得,de,(trợ từ),他跑得很快。,Anh ấy chạy rất nhanh.,tā pǎo de hěn kuài.
着,zhe,(trợ từ biểu thị trạng thái tiếp diễn),门开着。,Cửa đang mở.,mén kāi zhe.
过,guò,(trợ từ biểu thị hành động đã xảy ra trong quá khứ),我吃过饭了。,Tôi đã ăn cơm rồi.,wǒ chī guò fàn le.
吧,ba,(trợ từ nghi vấn/yêu cầu),我们走吧。,Chúng ta đi thôi.,wǒmen zǒu ba.
机场,jīchǎng,sân bay,我要去机场。,Tôi muốn đi sân bay.,wǒ yào qù jīchǎng.
教室,jiàoshì,"phòng học, lớp học",我们在教室里学习。,Chúng tôi học trong phòng học.,wǒmen zài jiàoshì lǐ xuéxí.
房间,fángjiān,căn phòng,我的房间很小。,Phòng của tôi rất nhỏ.,wǒ de fángjiān hěn xiǎo.
路,lù,đường,这条路很长。,Con đường này rất dài.,zhè tiáo lù hěn cháng.
左边,zuǒbiān,bên trái,商店在左边。,Cửa hàng ở bên trái.,shāngdiàn zài zuǒbiān.
右边,yòubiān,bên phải,银行在右边。,Ngân hàng ở bên phải.,yínháng zài yòubiān.
外,wài,bên ngoài,我在门外等你。,Tôi đợi bạn ở ngoài cửa.,wǒ zài mén wài děng nǐ.
旁边,pángbiān,bên cạnh,他坐在我旁边。,Anh ấy ngồi cạnh tôi.,tā zuò zài wǒ pángbiān.
一下,yīxià,"một chút, một lát",请等一下。,Xin đợi một chút.,qǐng děng yīxià.
早上,zǎoshàng,buổi sáng,我早上七点起床。,Tôi thức dậy lúc 7 giờ sáng.,wǒ zǎoshàng qī diǎn qǐchuáng.
晚上,wǎnshàng,buổi tối,我晚上看电影。,Tôi xem phim vào buổi tối.,wǒ wǎnshàng kàn diànyǐng.
小时,xiǎoshí,giờ (tiếng đồng hồ),我等了两个小时。,Tôi đã đợi hai tiếng đồng hồ.,wǒ děng le liǎng gè xiǎoshí.
时间,shíjiān,thời gian,你有时间吗？,Bạn có thời gian không?,nǐ yǒu shíjiān ma?
去年,qùnián,năm ngoái,我去年去了中国。,Năm ngoái tôi đã đi Trung Quốc.,wǒ qùnián qù le Zhōngguó.
日,rì,ngày,今天是几日？,Hôm nay là ngày mấy?,jīntiān shì jǐ rì?
生日,shēngrì,sinh nhật,祝你生日快乐！,Chúc bạn sinh nhật vui vẻ!,zhù nǐ shēngrì kuàilè!
哥哥,gēge,anh trai,我的哥哥很高。,Anh trai tôi rất cao.,wǒ de gēge hěn gāo.
姐姐,jiějie,chị gái,我和姐姐是好朋友。,Tôi và chị gái là bạn tốt.,wǒ hé jiějie shì hǎo péngyou.
弟弟,dìdi,em trai,我有一个弟弟。,Tôi có một em trai.,wǒ yǒu yī gè dìdi.
妹妹,mèimei,em gái,我爱我的妹妹。,Tôi yêu em gái của tôi.,wǒ ài wǒ de mèimei.
丈夫,zhàngfu,chồng,我的丈夫很帅。,Chồng tôi rất đẹp trai.,wǒ de zhàngfu hěn shuài.
妻子,qīzi,vợ,我的妻子很漂亮。,Vợ tôi rất xinh đẹp.,wǒ de qīzi hěn piàoliang.
孩子,háizi,"con cái, đứa trẻ",她有两个孩子。,Cô ấy có hai đứa con.,tā yǒu liǎng gè háizi.
男人,nánrén,đàn ông,这个男人是谁？,Người đàn ông này là ai?,zhège nánrén shì shuí?
女人,nǚrén,phụ nữ,她是一个漂亮的女人。,Cô ấy là một người phụ nữ xinh đẹp.,tā shì yī gè piàoliang de nǚrén.
服务员,fúwùyuán,nhân viên phục vụ,服务员，请给我菜单。,"Nhân viên phục vụ, làm ơn cho tôi xem thực đơn.","fúwùyuán, qǐng gěi wǒ càidān."
鱼,yú,cá,我喜欢吃鱼。,Tôi thích ăn cá.,wǒ xǐhuān chī yú.
羊肉,yángròu,thịt cừu,我喜欢吃羊肉串。,Tôi thích ăn thịt cừu xiên nướng.,wǒ xǐhuān chī yángròu chuàn.
牛奶,niúnǎi,sữa bò,我每天早上喝牛奶。,Tôi uống sữa bò mỗi sáng.,wǒ měitiān zǎoshàng hē niúnǎi.
鸡蛋,jīdàn,trứng gà,我做了一个鸡蛋饼。,Tôi đã làm một cái bánh trứng.,wǒ zuò le yī gè jīdàn bǐng.
西瓜,xīguā,dưa hấu,西瓜很甜。,Dưa hấu rất ngọt.,xīguā hěn tián.
咖啡,kāfēi,cà phê,我每天都要喝咖啡。,Tôi phải uống cà phê mỗi ngày.,wǒ měitiān dōu yào hē kāfēi.
雪,xuě,tuyết,今天下雪了。,Hôm nay tuyết rơi rồi.,jīntiān xià xuě le.
药,yào,thuốc,你应该吃药了。,Bạn nên uống thuốc rồi.,nǐ yīnggāi chī yào le.
手机,shǒujī,điện thoại di động,我的手机没电了。,Điện thoại di động của tôi hết pin rồi.,wǒ de shǒujī méi diàn le.
手表,shǒubiǎo,đồng hồ đeo tay,他戴着一块新手表。,Anh ấy đang đeo một chiếc đồng hồ mới.,tā dàizhe yī kuài xīn shǒubiǎo.
眼睛,yǎnjīng,mắt,她的眼睛很漂亮。,Đôi mắt của cô ấy rất đẹp.,tā de yǎnjīng hěn piàoliang.
身体,shēntǐ,"cơ thể, sức khỏe",祝你身体健康。,Chúc bạn sức khỏe tốt.,zhù nǐ shēntǐ jiànkāng.
公共汽车,gōnggòngqìchē,xe buýt,我坐公共汽车去上班。,Tôi đi xe buýt đi làm.,wǒ zuò gōnggòngqìchē qù shàngbān.
报纸,bàozhǐ,"báo, tờ báo",我每天早上看报纸。,Tôi đọc báo mỗi sáng.,wǒ měitiān zǎoshàng kàn bàozhǐ.
门,mén,cửa,请关门。,Xin hãy đóng cửa.,qǐng guān mén.
题,tí,"đề, câu hỏi",这道题很难。,Câu hỏi này rất khó.,zhè dào tí hěn nán.
课,kè,"bài học, tiết học",我们今天有汉语课。,Hôm nay chúng ta có tiết học tiếng Trung.,wǒmen jīntiān yǒu Hànyǔ kè.
姓,xìng,họ,你姓什么？,Bạn họ gì?,nǐ xìng shénme?
问题,wèntí,"vấn đề, câu hỏi",我有一个问题。,Tôi có một câu hỏi.,wǒ yǒu yī gè wèntí.
事情,shìqing,"việc, sự việc",这件事情很重要。,Việc này rất quan trọng.,zhè jiàn shìqing hěn zhòngyào.
考试,kǎoshì,"kỳ thi, bài kiểm tra",我明天有考试。,Ngày mai tôi có bài kiểm tra.,wǒ míngtiān yǒu kǎoshì.
票,piào,vé,我买了两张电影票。,Tôi đã mua hai vé xem phim.,wǒ mǎi le liǎng zhāng diànyǐng piào.
意思,yìsi,ý nghĩa,这是什么意思？,Cái này có nghĩa là gì?,zhè shì shénme yìsi?
颜色,yánsè,màu sắc,你喜欢什么颜色？,Bạn thích màu gì?,nǐ xǐhuān shénme yánsè?
铅笔,qiánbǐ,bút chì,我用铅笔写字。,Tôi dùng bút chì để viết.,wǒ yòng qiánbǐ xiězì.
面条,miàntiáo,mì sợi,我喜欢吃面条。,Tôi thích ăn mì sợi.,wǒ xǐhuān chī miàntiáo.
火车站,huǒchēzhàn,nhà ga xe lửa,我要去火车站。,Tôi muốn đi nhà ga xe lửa.,wǒ yào qù huǒchēzhàn.
公司,gōngsī,công ty,我在一家大公司工作。,Tôi làm việc ở một công ty lớn.,wǒ zài yī jiā dà gōngsī gōngzuò.
宾馆,bīngguǎn,khách sạn,我住在这个宾馆。,Tôi ở khách sạn này.,wǒ zhù zài zhège bīngguǎn.
说话,shuōhuà,nói chuyện,他们在说话。,Họ đang nói chuyện.,tāmen zài shuōhuà.
卖,mài,bán,这个商店卖衣服。,Cửa hàng này bán quần áo.,zhège shāngdiàn mài yīfu.
问,wèn,hỏi,我想问你一个问题。,Tôi muốn hỏi bạn một câu hỏi.,wǒ xiǎng wèn nǐ yī gè wèntí.
走,zǒu,"đi, bước đi",我们走吧。,Chúng ta đi thôi.,wǒmen zǒu ba.
进,jìn,"vào, đi vào",请进。,Mời vào.,qǐng jìn.
出,chū,"ra, ra ngoài",他从房间里出来了。,Anh ấy đã ra khỏi phòng.,tā cóng fángjiān lǐ chū lái le.
跑步,pǎobù,chạy bộ,我每天跑步。,Tôi chạy bộ mỗi ngày.,wǒ měitiān pǎobù.
到,dào,"đến, tới",我到家了。,Tôi đã về đến nhà rồi.,wǒ dào jiā le.
穿,chuān,"mặc (quần áo), đi (giày)",她穿了一件新衣服。,Cô ấy đã mặc một bộ quần áo mới.,tā chuān le yī jiàn xīn yīfu.
洗,xǐ,"rửa, giặt",我要洗手。,Tôi muốn rửa tay.,wǒ yào xǐ shǒu.
给,gěi,cho,请给我一杯水。,Xin hãy cho tôi một cốc nước.,qǐng gěi wǒ yī bēi shuǐ.
找,zhǎo,"tìm, tìm kiếm",我在找我的书。,Tôi đang tìm sách của tôi.,wǒ zài zhǎo wǒ de shū.
懂,dǒng,hiểu,你懂了吗？,Bạn hiểu chưa?,nǐ dǒng le ma?
笑,xiào,cười,她开心地笑了。,Cô ấy đã cười rất vui vẻ.,tā kāixīn de xiào le.
告诉,gàosù,"nói cho, kể cho",请告诉我你的名字。,Xin hãy nói cho tôi biết tên của bạn.,qǐng gàosù wǒ nǐ de míngzi.
准备,zhǔnbèi,chuẩn bị,我准备去旅行。,Tôi chuẩn bị đi du lịch.,wǒ zhǔnbèi qù lǚxíng.
开始,kāishǐ,bắt đầu,电影开始了。,Bộ phim đã bắt đầu rồi.,diànyǐng kāishǐ le.
介绍,jièshào,giới thiệu,我来介绍一下我的朋友。,Để tôi giới thiệu một chút về bạn của tôi.,wǒ lái jièshào yīxià wǒ de péngyou.
帮助,bāngzhù,giúp đỡ,谢谢你的帮助。,Cảm ơn sự giúp đỡ của bạn.,xièxie nǐ de bāngzhù.
玩,wán,"chơi, vui chơi",我们一起去玩吧。,Chúng ta cùng đi chơi đi.,wǒmen yìqǐ qù wán ba.
送,sòng,"tặng, đưa tiễn",我送你回家。,Tôi đưa bạn về nhà.,wǒ sòng nǐ huí jiā.
等,děng,"đợi, chờ",请等我一下。,Xin hãy đợi tôi một chút.,qǐng děng wǒ yīxià.
让,ràng,"để, cho phép",让我来帮你。,Để tôi giúp bạn.,ràng wǒ lái bāng nǐ.
起床,qǐchuáng,thức dậy,我每天早上六点起床。,Tôi thức dậy lúc 6 giờ sáng mỗi ngày.,wǒ měitiān zǎoshàng liù diǎn qǐchuáng.
唱歌,chànggē,hát,她很喜欢唱歌。,Cô ấy rất thích hát.,tā hěn xǐhuān chànggē.
跳舞,tiàowǔ,nhảy múa,他会跳舞吗？,Anh ấy có biết nhảy không?,tā huì tiàowǔ ma?
旅游,lǚyóu,du lịch,我喜欢旅游。,Tôi thích du lịch.,wǒ xǐhuān lǚyóu.
上班,shàngbān,đi làm,我每天九点上班。,Tôi đi làm lúc 9 giờ mỗi ngày.,wǒ měitiān jiǔ diǎn shàngbān.
生病,shēngbìng,"bị ốm, bị bệnh",他生病了，不能来上课。,"Anh ấy bị ốm rồi, không thể đến lớp được.","tā shēngbìng le, bù néng lái shàngkè."
休息,xiūxi,nghỉ ngơi,你应该多休息。,Bạn nên nghỉ ngơi nhiều hơn.,nǐ yīnggāi duō xiūxi.
运动,yùndòng,"vận động, tập thể dục",我每天都运动。,Tôi tập thể dục mỗi ngày.,wǒ měitiān dōu yùndòng.
游泳,yóuyǒng,bơi lội,我喜欢游泳。,Tôi thích bơi lội.,wǒ xǐhuān yóuyǒng.
踢足球,tīzúqiú,đá bóng,我喜欢踢足球。,Tôi thích đá bóng.,wǒ xǐhuān tīzúqiú.
打篮球,dǎlánqiú,chơi bóng rổ,他每天都打篮球。,Anh ấy chơi bóng rổ mỗi ngày.,tā měitiān dōu dǎlánqiú.
完,wán,"xong, hoàn thành",我吃完饭了。,Tôi đã ăn cơm xong rồi.,wǒ chī wán fàn le.
觉得,juédé,"cảm thấy, nghĩ rằng",我觉得他很好。,Tôi cảm thấy anh ấy rất tốt.,wǒ juédé tā hěn hǎo.
知道,zhīdao,biết,我不知道。,Tôi không biết.,wǒ bù zhīdao.
希望,xīwàng,hy vọng,我希望你能来。,Tôi hy vọng bạn có thể đến.,wǒ xīwàng nǐ néng lái.
可以,kěyǐ,"có thể, được",你可以帮我吗？,Bạn có thể giúp tôi không?,nǐ kěyǐ bāng wǒ ma?
要,yào,"muốn, cần",我要一杯水。,Tôi muốn một cốc nước.,wǒ yào yī bēi shuǐ.
可能,kěnéng,"có thể, có lẽ",他可能会来。,Anh ấy có thể sẽ đến.,tā kěnéng huì lái.
高,gāo,cao,他比我高。,Anh ấy cao hơn tôi.,tā bǐ wǒ gāo.
红,hóng,đỏ,我喜欢红色。,Tôi thích màu đỏ.,wǒ xǐhuān hóngsè.
白,bái,trắng,这件衣服是白色的。,Cái áo này màu trắng.,zhè jiàn yīfu shì báisè de.
黑,hēi,đen,他的头发是黑色的。,Tóc của anh ấy màu đen.,tā de tóufà shì hēisè de.
忙,máng,bận,我很忙。,Tôi rất bận.,wǒ hěn máng.
快,kuài,nhanh,他跑得很快。,Anh ấy chạy rất nhanh.,tā pǎo de hěn kuài.
慢,màn,chậm,请说慢一点。,Xin hãy nói chậm một chút.,qǐng shuō màn yīdiǎn.
远,yuǎn,xa,学校离我家很远。,Trường học cách nhà tôi rất xa.,xuéxiào lí wǒ jiā hěn yuǎn.
近,jìn,gần,商店离我家很近。,Cửa hàng cách nhà tôi rất gần.,shāngdiàn lí wǒ jiā hěn jìn.
好吃,hǎochī,ngon (đồ ăn),这道菜真好吃。,Món ăn này thật sự ngon.,zhè dào cài zhēn hǎochī.
累,lèi,mệt,我很累。,Tôi rất mệt.,wǒ hěn lèi.
长,cháng,dài,这条裙子很长。,Chiếc váy này rất dài.,zhè tiáo qúnzi hěn cháng.
新,xīn,mới,我买了一件新衣服。,Tôi đã mua một bộ quần áo mới.,wǒ mǎi le yī jiàn xīn yīfu.
贵,guì,đắt,这件衣服很贵。,Cái áo này rất đắt.,zhè jiàn yīfu hěn guì.
便宜,piányi,rẻ,这个手机很便宜。,Cái điện thoại này rất rẻ.,zhège shǒujī hěn piányi.
晴,qíng,"trời quang đãng, nắng",今天天气很晴。,Hôm nay trời rất quang đãng.,jīntiān tiānqì hěn qíng.
阴,yīn,"âm u, có mây",今天是阴天。,Hôm nay là ngày âm u.,jīntiān shì yīntiān.
错,cuò,"sai, nhầm",你说错了。,Bạn nói sai rồi.,nǐ shuō cuò le.
快乐,kuàilè,"vui vẻ, hạnh phúc",祝你生日快乐！,Chúc bạn sinh nhật vui vẻ!,zhù nǐ shēngrì kuàilè!
对,duì,"đối với; đúng",对我来说，这很重要。,"Đối với tôi, điều này rất quan trọng.","duì wǒ lái shuō, zhè hěn zhòngyào."
